item_description,msrp_usd,qty,brand,vendor_sku,color,size,material,season,target_gender,notes
"mens_top_wntr_blk_42","29.99 USD","12","URBANGEN","UG-HT-001","Black","L","Cotton Fleece","Winter","Men","core hoodie drop"
"wmn-yoga_set//pink-xs","$24.5","18","FitFlex","FF-YG-014","Pink","XS","Nylon Spandex","All-Season","Women","best seller tier-2"
"ovrszd grphc tee unisex","18.00","36","UrbanGen","UG-TS-331","White","M","Cotton","Summer","Unisex","street collab print"
"formal_shrt_slimfit_blue_39","39.0","10","DenimCo","DC-FM-210","Blue","39","Cotton Blend","All-Season","Men","office capsule"
"heavy_winter_parka_navy","129.99","6","NordicGear","NG-OW-091","Navy","XL","Polyfill","Winter","Men","low demand south india"
"chunky-sneaker_kpop_style","54 USD","20","StepUp","SU-FW-404","Ivory","42","PU + Mesh","All-Season","Unisex","creator-led trend"
"crossbody_bag_minimal_tan","22","28","CarryLab","CL-AC-118","Tan","One Size","Vegan Leather","All-Season","Women","giftable sku"
"athleisure_jogger_mens_char","27.75","24 pcs","FitFlex","FF-AW-222","Charcoal","L","Cotton Poly","All-Season","Men","high repeat rate"
"linen_formal_trouser_wmn","33.4","15","DenimCo","DC-FM-355","Beige","30","Linen Blend","Summer","Women","wedding season spike"
"puffer_lightweight_city","74.2","9","NordicGear","NG-OW-112","Olive","M","Nylon","Winter","Unisex","metro demand only"
"street_cargo_baggy_blk","26.5","31","UrbanGen","UG-ST-508","Black","32","Cotton Twill","All-Season","Men","baggy trend rising"
"ribbed_crop_active_top","19.99","26","FitFlex","FF-YG-028","Lilac","S","Nylon Spandex","All-Season","Women","paired with leggings"
"oxford_formal_shirt_white","31","14","DenimCo","DC-FM-401","White","40","Cotton","All-Season","Men","corporate uniform candidate"
"tech-shell_rain_jacket","68.6","11","NordicGear","NG-OW-207","Grey","L","Polyester","Monsoon","Unisex","weather-led demand"
"retro_runner_sneaker","49.5","22","StepUp","SU-FW-512","Grey/Red","41","Mesh","All-Season","Men","price sensitive"
"bucket_hat_canvas","11.9","40","CarryLab","CL-AC-201","Khaki","One Size","Canvas","Summer","Unisex","festival accessory"
"seamless_leggings_highrise","23.3","33","FitFlex","FF-AW-310","Black","M","Nylon Spandex","All-Season","Women","top conversion sku"
"double_breast_blazer_char","59.0","8","DenimCo","DC-FM-488","Charcoal","L","Poly Viscose","All-Season","Women","premium formal"
"quilted_overshirt_street","34.75","17","UrbanGen","UG-ST-612","Forest","M","Cotton","Winter","Men","influencer push"
"thermal_innerwear_set","17.2","29","NordicGear","NG-OW-301","Black","L","Thermal Knit","Winter","Unisex","add-on bundle"
"platform_sneaker_white","57.4","19","StepUp","SU-FW-404","White","39","PU","All-Season","Women","duplicate sku intentionally"
"mini_sling_bag_glossy","16.8","27","CarryLab","CL-AC-277","Cherry","One Size","PU","All-Season","Women","impulse checkout"
"graphic_hoodie_oversize_red","32.1","21","UrbanGen","UG-HT-001","Red","XL","Cotton Fleece","Winter","Unisex","duplicate sku intentionally"
"training_shorts_quickdry","14.99","35","FitFlex","FF-AW-355","Navy","M","Polyester","Summer","Men","value segment"
"mandarin_formal_kurta_modern","28.6","13","DenimCo","DC-FM-550","Ink Blue","42","Cotton","Festive","Men","regional festive demand"
"windcheater_packable_neon","41.2","16","NordicGear","NG-OW-333","Neon Green","M","Nylon","Monsoon","Unisex","performance outerwear"
"sock_sneaker_light","36","24","StepUp","SU-FW-611","Black","40","Knit","All-Season","Unisex","comfort-led keyword"
"layered_chain_set_unisex","9.5","44","CarryLab","CL-AC-333","Silver","One Size","Alloy","All-Season","Unisex","accessory attach"
"co-ord_set_street_sand","37.9","12","UrbanGen","UG-ST-702","Sand","L","Cotton","Summer","Men","limited drop"
"sports_bra_medium_support","18.7","30","FitFlex","FF-AW-402","Teal","S","Nylon Spandex","All-Season","Women","bundle with leggings"
